itm_item;grp_dscgrp;sgr_dscsgr;itm_descri;itm_marca
0000000731;DESCARTAVEIS;DIVERSOS;FILTRO DE PAPEL P/CAFE Nº 103 CX.40UND.;SANTA CLARA
0000001002;FRIOS;DIVERSOS;LIMAO GALEGO 1ª QUALIDADE;CEASA
0000001269;PRODUTOS DE LIMPEZA;DIVERSOS;DESINFETANTE CONC. LIQ. CX.24X100M.;DESODIL
0000001176;;;CANETA P/CD PRETA ;PILOT
0000001774;FRIOS;DIVERSOS;MANGA COITE 1ª QUALIDADE;CEASA
0000000247;PRODUTOS DE HIGIENE;DIVERSOS;ESCOVA DENTAL INFANTIL CX.144UND.;CONDOR
0000001674;;;TESOURA ZIG PROFISSIONAL;CIS
0000000425;MATINAIS;DIVERSOS;GELEIA DE MORANGO/UVA DIET EM SACHET CX.144X27G.;QUEENSBERRY
0000000145;DOCES;DIVERSOS;DOCE DE GOIABA CRISTALIZADO CX.24X400G.;FLOR DO LAR 
0000001228;CEREAIS;DIVERSOS;CASTANHA DE CAJU GRANULADA PCT.01KG.;BALDARATE 
0000000978;MATERIAL DE LIMPEZA;DIVERSOS;SUPORTE PARA PANO DE LIMPEZA 300M.;ALVORADA
0000001431;PRODUTOS DE HIGIENE;DIVERSOS;HIDRATANTE CORPORAL CX.12X500ML.;BELSOFT
0000002035;MATERIAIS DURAVEIS;DIVERSOS;FORRO DE PVC ;
0000001677;;;ENVELOPE OURO TAM.229X324MM. PCT.100UND.;
0000000397;FRIOS;DIVERSOS;MORANGOS FRESCOS PCT.200G.;CEASA
0000000122;MATERIAL DE LIMPEZA;DIVERSOS;LUVA LATEX FORRADA ANTIDERRAPANTE TAM. P;VOLK
0000001490;ENLATADOS;DIVERSOS;AZEITE DE OLIVA EM SACHET CX.200X08ML.;BOM SABOR
0000001507;;;TAPETE EVA TAM.30X30CM. PCT.12UND.;IBEL
0000000823;MATINAIS;DIVERSOS;MARGARINA VEG. 60% LIP. C/SAL CX.12X250G.;DELICATA
0000001953;;;COLA PARA ISOPOR 01LT.;
0000001055;DESCARTAVEIS;DIVERSOS;SACO PLASTICO TRANSP. TAM.40X60CM.;DORIPLAST
0000000241;MATERIAIS DURAVEIS;DIVERSOS;PIA EM ACO ;
0000000723;DOCES;DIVERSOS;CHOCOLATE GRANULADO PCT.01KG.;ARO
0000000016;MASSAS E BISCOITOS;DIVERSOS;QUICHE RECHEADO ;W&M
0000001171;MATERIAL DE LIMPEZA;DIVERSOS;ODORIZADOR DE AMBIENTE AUTOMATICO;COLUMBUS
0000001970;;;COLA ALTO RELEVO CORES VARIADAS ;
0000002068;MATERIAIS DURAVEIS;DIVERSOS;CONJUNTO DE REAGENTES;
0000001398;MATERIAIS DURAVEIS;DIVERSOS;BANDEJA PLASTICA ;
0000001360;MASSAS E BISCOITOS;DIVERSOS;SALGADINHOS DIVERSOS PCT.100UND.;W&M
0000001830;DOCES;DIVERSOS;PIRULITOS PCT.50UND. 700G.;POP
0000002107;MATERIAIS DURAVEIS;DIVERSOS;PROTETOR DE TORAX (AZUL/VERMELHO);
0000000080;MASSAS E BISCOITOS;DIVERSOS;BISCOITO RECHEADO VARIADOS CX.48X55G.;ESTRELA
0000000123;MATERIAL DE LIMPEZA;DIVERSOS;VASSOURA LEQUE EM NYLON Nº 3 C/CABO DE MADEIRA;FORTLEVES
0000001972;MATERIAL DE LIMPEZA;DIVERSOS;VASSOURA DE PELO C/CABO DE MADEIRA 50CM.;FORTLEVES
0000000597;MATERIAL DE LIMPEZA;DIVERSOS;CESTO PLASTICO TELADO ;IBAP
0000001581;;;FORMULARIO CONTINUO 1 VIA 240X280 CX.2.500FLS.;DATAPEL
0000001804;MATERIAIS DURAVEIS;DIVERSOS;GAVETEIRO PLASTICO C/03 GAVETAS;
0000001611;CEREAIS;DIVERSOS;ARROZ INTEGRAL LONGO FINO T-1 FD.30X01KG.;NAMORADO
0000001819;MATERIAIS DURAVEIS;DIVERSOS;ENXADECO;
0000000648;MATERIAIS DURAVEIS;DIVERSOS;GAS LIQ. PARA COZINHA 13KG.;TROPIGAS
0000000734;DOCES;DIVERSOS;BOMBONS SONHO DE VALSA PCT.250G.;LACTA
0000001585;MATERIAL DE LIMPEZA;DIVERSOS;ESPONJA DUPLA FACE TAM.100X70X20MM. CX.60UND.;FORTLIMP
0000000324;PRODUTOS DE HIGIENE;DIVERSOS;ABSORVENTE HIGIENICO NORMAL PCT.08UND.;DEFINITY
0000000848;FRIOS;DIVERSOS;QUEIJO GORGONZOLA 500G.;QUATA
0000000276;MATERIAIS DURAVEIS;DIVERSOS;COPO EM VIDRO CX.06UND.;
0000001861;;;PAPEL LAMINADO PCT.40FLS.;CROMUS
0000001093;MATERIAL DE LIMPEZA;DIVERSOS;SACO PLASTICO P/TALHERES TAM.06X30CM.;SOLMAR
0000001047;DESCARTAVEIS;DIVERSOS;SACO PLASTICO PARA LIXO REFORCADO 200L 90X110CM.;PLASUTIL
0000001698;MATERIAIS DURAVEIS;DIVERSOS;PEN DRIVE 16GB;
0000001283;TEMPEROS E CONDIMENTOS;DIVERSOS;PIMENTA DO REINO EM GRAOS PCT.01KG. ;BALDARATE
0000001784;MATERIAIS DURAVEIS;DIVERSOS;MANGUEIRA;
0000002099;MATERIAIS DURAVEIS;DIVERSOS;SAPATINHO DE LA PARA BEBE;
0000000071;MATERIAIS DURAVEIS;DIVERSOS;TOALHA PARA MAOS;FANTASIA
0000124578;FRIOS;DIVERSOS;XX;
0000000442;TEMPEROS E CONDIMENTOS;DIVERSOS;MAIONESE CX.12X500G.;FUGINI
0000000773;FRIOS;DIVERSOS;QUEIJO MUSSARELA ;
0000000091;TEMPEROS E CONDIMENTOS;DIVERSOS;CREME DE CEBOLA CX.06X01KG.;MAGGI
0000001855;MATERIAIS DURAVEIS;DIVERSOS;DVD VIRGEM;
0000000130;DESCARTAVEIS;DIVERSOS;PRATO ACRILICO P/SOBREMESA TAM.150MM. PCT.10UND.;USAFORM
0000001734;MATERIAIS DURAVEIS;DIVERSOS;DOSADOR PARA MAQUINA DE LAVAR LOUCAS;TRON
0000001895;MATERIAIS DURAVEIS;DIVERSOS;ASSADEIRA ;
0000000211;TEMPEROS E CONDIMENTOS;DIVERSOS;CALDO DE GALINHA CX.05X01KG.;NUTRIMENTAL
0000002071;MATERIAIS DURAVEIS;DIVERSOS;SUGADOR DE SOLDA ELETRICA;
0000000055;MATINAIS;DIVERSOS;UVAS PASSAS PRETA S/SEMENTES CX.10KG.;CEASA
0000000864;FRIOS;DIVERSOS;MANGA ROSA 1ª QUALIDADE;CEASA
0000000527;PRODUTOS DE LIMPEZA;DIVERSOS;SABONETE LIQUIDO FINESS ERVA DOCE BOB.05L.;PRACTPLUS
0000000943;BEBIDAS;DIVERSOS;REFRIGERANTE DE COLA DESC. FD.06X01LT.;COCA COLA
0000001721;PERMANENTE;DIVERSOS;CADEIRA PRESIDENTE;MUNDIAL
0000000521;PRODUTOS DE HIGIENE;DIVERSOS;PAPEL HIGIENICO BRANCO FD.04X800M.;BIG ESTYLO
0000000042;DESCARTAVEIS;DIVERSOS;QUENTINHA C/TP DE PAPELAO C/3 DIV. CX.100UND. ;TERMICA
0000000980;EXPEDIENTE;DIVERSOS;COLA PARA ISOPOR CX.12X90G.;
0000001281;ENLATADOS;DIVERSOS;ERVILHAS EM CONSERVA CX.06X02KG;GOIAS VERDE
0000000568;PRODUTOS DE LIMPEZA;DIVERSOS;DESINFETANTE LIQUIDO CX.06X02LT.;IDEAL
0000001976;FRIOS;DIVERSOS;FIGADO BOVINO CONGELADO;
0000000627;MATERIAIS DURAVEIS;DIVERSOS;MAQUINA P/ENCADERNAMENTO ;
0000000417;MATERIAL DE LIMPEZA;DIVERSOS;SACO PLASTICO PARA LIXO PCT.100X20LT.;RAVA
0000001298;TEMPEROS E CONDIMENTOS;DIVERSOS;TEMPERO COMPLETO FD.12X60G.;SAZON
0000015299;DOCES;DIVERSOS;PO P/GELATINA LIMAO/MORANGO 30G.;FLEISCHMAN
0000000726;MATERIAIS DURAVEIS;DIVERSOS;TOALHA P/BANHO TAM.71X1,3MT. PCT.05UND.;SANTISTA
0000000067;DESCARTAVEIS;DIVERSOS;COPO DESCARTAVEL PCT.100X200ML.;COPOBRAS
0000001344;;;PAPEL CONTACT 45X25M;PLASTFIK
0000001099;MATINAIS;DIVERSOS;ACHOCOLATADO EM PO FD.10X01KG.;CHOCOLACTEA
0000001174;PRODUTOS DE LIMPEZA;DIVERSOS;LIMPADOR SANIT. LIQUIDO CX.12X500ML.;HARPIC
0000001958;MATERIAIS DURAVEIS;DIVERSOS;BOLA ;
0000002030;;;FORMULARIO FISCAL FEDERAL TIPO DARF 100FLS.;
0000001291;MATERIAIS DURAVEIS;DIVERSOS;DISPENSER P/PAPEL TOALHA INTERF.;COLUMBUS
0000000706;BEBIDAS;DIVERSOS;REFRIGERANTE DE GUARANA DESC. FD.06X02LT.;KUAT
0000000800;DOCES;DIVERSOS;PREPARO PARA CHANTILLY UHT 01LT.;CHANTIMIX
0000001035;MATERIAL DE LIMPEZA;DIVERSOS;VASSOURA DE PELO ANIMAL 40CM. C/CABO DE MADEIRA;FORTLEVES
0000002066;MATERIAIS DURAVEIS;DIVERSOS;LANCETA PARA SANGUE;
0000001458;FRIOS;DIVERSOS;LINGUA BOVINA CONGELADA;BERTIN
0000001484;;;ESTECA DE PONTA P/MARCAR EVA;
0000001717;MATERIAIS DURAVEIS;DIVERSOS;ASSINATURA DE JORNAL DN;DIARIO
0000001381;MATERIAIS DURAVEIS;DIVERSOS;TELEFONE FIXO;FORCELINE
0000000715;MATERIAL DE LIMPEZA;DIVERSOS;ESPANADOR LIMPA TETO C/CABO EM MADEIRA;FORTLEVES
0000000450;TEMPEROS E CONDIMENTOS;DIVERSOS;ERVA DOCE FD.15X40GR.;MARIZA
0000001479;MATERIAIS DURAVEIS;DIVERSOS;MINI SYSTEM USB AKX12;PANASONIC
0000000100;MATERIAIS DURAVEIS;DIVERSOS;DISPENSER P/PAPEL HIGIENICO ROL.600M/800M.;AURIMAR
0000001139;TEMPEROS E CONDIMENTOS;DIVERSOS;PROTEINA DE SOJA TEXTURIZADA FRANGO FD.20X400G.;ITAGUARY
0000001496;MATINAIS;DIVERSOS;CAFE SOLUVEL GRANULADO CX.24X50G.;MARATA
0000001264;MATINAIS;DIVERSOS;LEITE LONGA VIDA S/LACTOSE UHT CX.12X01LT.;
0000001442;MATERIAIS DURAVEIS;DIVERSOS;FOGAO INDL. 4 BOCAS SIMPLES S/ FORNO;PROGAS
0000000760;BEBIDAS;DIVERSOS;REFRIGERANTE DE LARANJA DESC. FD.06X02LT.;FANTA
0000000756;FRIOS;DIVERSOS;LINGUICA TIPO PAIO DEFUMADO ;
0000001186;MATINAIS;DIVERSOS;ALIMENTO BASE DE MULTICEREAIS MUCILON 400G ;NESTLE
0000001279;FRIOS;DIVERSOS;PEITO DE FRANGO EMPANADO ;SADIA
0000001735;BEBIDAS;DIVERSOS;AGUA DE COCO CX.12X01LT.;QUEROCOCO
0000001367;MATERIAIS DURAVEIS;DIVERSOS;"TV LED 24""";
0000001671;MATERIAIS DURAVEIS;DIVERSOS;COPIADORA DIGITAL MULTIFUCIONAL DCP 8085DN;BROTHER
0000001821;;;FOTO CELULA;
0000000079;MATINAIS;DIVERSOS;CAFE MOIDO A VACUO PURO SELO ABIC CX.20X250G.;NORDESTINO
0000000098;DESCARTAVEIS;DIVERSOS;GARFO DESCARTAVEL GRANDE CX.1.000UND.;
0000001396;MATERIAL DE LIMPEZA;DIVERSOS;VASSOURA TININDO 0517;BETTANIN
0000000555;DESCARTAVEIS;DIVERSOS;FITA ADESIVA TRANSPARENTE TAM.38X50MT.;ADELBRAS
0000001607;;;APITO ;ROCKET
0000000390;DESCARTAVEIS;DIVERSOS;LUVA PLASTICA DESCARTAVEL PCT.100PAR.;SULPLAST
0000000109;MATINAIS;DIVERSOS;PRE NAN CX.12X400G.;NESTLE
0000000567;DESCARTAVEIS;DIVERSOS;COPO DESCARTAVEL PCT.100X180ML.;COPOBRAS
0000001932;;;TELA EM NYLON ROL.100M.;
0000000019;MATINAIS;DIVERSOS;ERVA DOCE PCT.01KG.;BALDARATE
0000000023;CEREAIS;DIVERSOS;ARROZ PARBOILIZADO LONGO FINO T-1 FD.30X01KG.;RAINHA
0000001466;MATERIAIS DURAVEIS;DIVERSOS;ABRIDOR DE LATAS;
0000000202;MATINAIS;DIVERSOS;NUTREN DIABETES CX.24X400G.;NESTLE
0000000610;MATINAIS;DIVERSOS;LEITE PASTEURIZADO TIPO C PCT.01LT.;BETANIA
0000000915;TEMPEROS E CONDIMENTOS;DIVERSOS;TEMPERO COMPLETO CX.24X300G.;MARIZA
0000001755;HORTIFRUTI;DIVERSOS;CARAMBOLA;CEASA
0000000473;MATERIAL DE LIMPEZA;DIVERSOS;PALHA DE ACO Nº 2 FD.20X01X25G.;BRILMIS
0000001687;;;TINTA ALTO RELEVO CORES VARIADAS PCT.12X37ML.;ACRILEX
0000001962;;;COLHER DE PAU;
0000001029;DESCARTAVEIS;DIVERSOS;PAPEL TOALHA BCO. 2 DOBRAS INTERF. CX.2.400FLS.;ECO PREMIUM
0000000316;PRODUTOS DE LIMPEZA;DIVERSOS;POLIDOR DE ALUMINIO CX.24X500ML.;LIMPA FACIL
0000000269;PRODUTOS DE LIMPEZA;DIVERSOS;DESODORIZADOR DE AMBIENTE CX.24X50ML.;GLADE
0000001503;TEMPEROS E CONDIMENTOS;DIVERSOS;CATCHUP NAO PICANTE BAL.3,2KG.;TAMBAU
0000001782;FRIOS;DIVERSOS;PIMENTA MALAGUETA;CEASA
0000000739;DESCARTAVEIS;DIVERSOS;COPO DESCARTAVEL PCT.100X200ML.;BONOPLAST
0000000882;CEREAIS;DIVERSOS;FLOCAO DE MILHO FD.20X500G.;DONA CLARA
0000001137;CEREAIS;DIVERSOS;CARNE DE HAMBURGUER BOVINO CX.36UND.;PERDIGAO
0000000263;BEBIDAS;DIVERSOS;XAROPE DE GROSELHA BOB.05LT.;PHYTO FOODS
0000001874;DESCARTAVEIS;DIVERSOS;LUVA DE RASPA;D'COURO
0000001271;PRODUTOS DE LIMPEZA;DIVERSOS;SABAO LIQUIDO P/ROUPAS CX.12X01LT.;TANTO
0000001156;PRODUTOS DE HIGIENE;DIVERSOS;HIGIENIZADOR SANIT. LIQ. C/APAR. CX.12X50ML.;PATO PURIFIC
0000001196;FRIOS;DIVERSOS;SORVETE SABORES VARIADO POT.01K.;PARDAL
0000000733;CEREAIS;DIVERSOS;MISTURA P/SOPA DE CARNE PCT.01KG.;FORMA FACIL
0000000043;MATINAIS;DIVERSOS;LEITE EM PO NINHO CRESC. PREBIO 3+ CX.24X400G.;NESTLE
0000001125;EXPEDIENTE;DIVERSOS;BORRACHA BICOLOR CX.40UND.;
0000000394;MATERIAL DE LIMPEZA;DIVERSOS;DISCO REMOVEDOR P/ENC. IND. PRETO 35CM.;BETANNIN
0000000827;MATERIAL DE LIMPEZA;DIVERSOS;PANO P/COPA ATOALHADO;TEKA
0000000289;MATINAIS;DIVERSOS;AMIDO DE MILHO CX.25X200G.;KIMIMO
0000001470;ENLATADOS;DIVERSOS;CREME DE LEITE CX.12X01KG.;ITAMBE
0000002080;MATERIAIS DURAVEIS;DIVERSOS;CANO HIDRAULICO PLASTICO;
0000001704;MATERIAIS DURAVEIS;DIVERSOS;FLANELOGRAFO 120X150CM.;SOUZA
0000001244;MATERIAL DE LIMPEZA;DIVERSOS;VASSOURA DE PELO 30CM. C/CABO REVESTIDO;FORTLEVES
0000001494;EXPEDIENTE;DIVERSOS;BLOCO DE ANOTACAO COLORIDO POST IT;
0000000466;MASSAS E BISCOITOS;DIVERSOS;MACARRAO ESPAGUETE FD.10X500G.;GOSTOSO ESTRELA
0000001280;FRIOS;DIVERSOS;MEDALHAO DE PERU CONG. CX.10KG.;SADIA
0000001725;EXPEDIENTE;DIVERSOS;GRAMPEADOR PLASTICO MINI JUNIOR ;
0000001135;ENLATADOS;DIVERSOS;ALMONDEGAS AO MOLHO CX.24X420G.;ODERICH
0000000740;DESCARTAVEIS;DIVERSOS;COPO DESCARTAVEL PCT.100X300ML.;COPOBRAS
0000000375;MATERIAL DE LIMPEZA;DIVERSOS;VASSOURA EM NYLON P/SANIT. C/CABO DE MADEIRA ;FORTLEVES
0000001766;FRIOS;DIVERSOS;MACAXEIRA PRE COZIDA CONG. CX.15X01KG.;GRILL E CIA.
0000000758;;;CLIPS 3/4 CX.50UND.;
0000001669;EXPEDIENTE;DIVERSOS;APAGADOR P/QUADRO BRANCO;
0000002098;MATERIAIS DURAVEIS;DIVERSOS;MEIA INFANTIL;POLINHO
0000000170;PRODUTOS DE HIGIENE;DIVERSOS;SABONETE EM BARRA ADULTO PCT.12X90G.;ARO
0000000720;MASSAS E BISCOITOS;DIVERSOS;MACARRAO ESPAGUETE C/OVOS FD.10X500G.;BRANDINI
0000001108;EXPEDIENTE;DIVERSOS;BORRACHA BRANCA PONTEIRA PCT.100UND. ;
0000000225;PRODUTOS DE LIMPEZA;DIVERSOS;POLIDOR DE INOX CX.24X500ML.;GUT LAR
0000001869;;;TINTA GUACHE CORES VARIADAS POT.250ML.;
0000001037;MATERIAL DE LIMPEZA;DIVERSOS;VASSOURA LEQUE DE NYLON Nº 4 C/CABO DE MADEIRA;FORTLEVES
0000001353;;;COLECAO SEGUNDO GRAU;
0000002031;;;LIVRO DE REGISTRO DE INVENTARIO C/50FLS.;
0000000168;MATINAIS;DIVERSOS;MARGARINA VEGETAL 35% LIP. S/SAL CX.12X500G.;BECEL
0000000280;TEMPEROS E CONDIMENTOS;DIVERSOS;MOLHO INGLES CX.12X900ML.;GALLETO
0000001571;MATERIAL DE LIMPEZA;DIVERSOS;VASSOURA PLASTICA LEQUE NYLON 30CM. C/CABO ;FORTLEVES
0000001546;MATERIAIS DURAVEIS;DIVERSOS;COLETE ESPORTIVO;
0000000977;TEMPEROS E CONDIMENTOS;DIVERSOS;GENGIBRE PCT.100G.;BALDARATE
0000001286;TEMPEROS E CONDIMENTOS;DIVERSOS;VINAGRE AGRIN VINHO BRANCO CX.12X750ML.;MINHOTO
0000000904;FRIOS;DIVERSOS;MAÇA NACIONAL VERMELHA 1ª QUALIDADE;CEASA
0000000167;DESCARTAVEIS;DIVERSOS;COPO DESC. BCO. P/CHOPP PCT.100X300ML.;MARATA
0000000768;TEMPEROS E CONDIMENTOS;DIVERSOS;GENGIBRE PCT.12X10G.;ISHASHI
0000001072;MATERIAL DE LIMPEZA;DIVERSOS;ESCOVA PLASTICA TIPO FERRO CX.36UND.;BETTANIN
0000000766;MASSAS E BISCOITOS;DIVERSOS;PAO DOCE COM COCO 50G.;W&M
0000000506;FRIOS;DIVERSOS;ALMONDEGAS BOVINA CONG.;
0000001268;PRODUTOS DE LIMPEZA;DIVERSOS;DETERGENTE LIQ. NEUTRO CX.20X01L.;FAX CLEAN
0000001191;TEMPEROS E CONDIMENTOS;DIVERSOS;VINAGRE DE MAÇA CX.12X750M.;MARATA
0000000956;FRIOS;DIVERSOS;QUEIJO DO REINO LTA.01KG.;SKANDIA
0000000658;HORTIFRUTI;DIVERSOS;BERINJELA ;CEASA
0000001065;MATINAIS;DIVERSOS;NUTREN 1.0 CX.24X400G.;NESTLE
0000001911;;;TECIDO DE ALGODAO PECA C/30MT.;
0000000618;MASSAS E BISCOITOS;DIVERSOS;PAO BOLA GIGANTE 100G.;W&M
0000001875;DESCARTAVEIS;DIVERSOS;FITA VEDA ROSCA TAM.18X10M;
0000001888;MASSAS E BISCOITOS;DIVERSOS;BOLO TIPO ROCAMBOLE 300G.;W&M
0000001965;FRIOS;DIVERSOS;PIMENTA OLHO DE PEIXE;CEASA
0000001551;MATERIAIS DURAVEIS;DIVERSOS;PORTA TALHERES;
0000000189;CEREAIS;DIVERSOS;FARINHA DE MANDIOCA FD.30X01KG.;NOVIN
0000000233;MATERIAL DE LIMPEZA;DIVERSOS;"PLACA SINALIZADORA ""PISO MOLHADO"" ";BRALIMPIA
0000000927;HORTIFRUTI;DIVERSOS;CHEIRO VERDE (COENTRO/CEBOLINHA) 1ª QUALIDADE;CEASA
0000001410;FRIOS;DIVERSOS;CAMARAO GRANDE C/CABEÇA CONG.;F. S. ROCHA
0000000859;ENLATADOS;DIVERSOS;ASPARGOS BRANCOS EM CONSERVA CX.12X200G.;CASAVERDE
0000000220;MATERIAIS DURAVEIS;DIVERSOS;LIXEIRA REDONDA CAP.10LT.;PURIMAX
0000000408;MATERIAIS DURAVEIS;DIVERSOS;PILHA ALCALINA PALITO AAA;DURACELL
0000001340;;;PASTA SANFONADA NEW LINE OF. 12DIV. ;POLYBRAS
0000001052;MASSAS E BISCOITOS;DIVERSOS;PAO DE QUEIJO APROX.30G.;W&M
0000000525;MATERIAIS DURAVEIS;DIVERSOS;CADEIRA DIRETOR;MUNDIAL
0000001676;;;PINCEL COLOR JUNIOR PCT.12UND.;PILOT
0000000027;MATINAIS;DIVERSOS;CHOCOLATE EM PO 50% CACAU CX.04X500G.;
0000000741;FRIOS;DIVERSOS;PESSEGO;CEASA
0000000366;DESCARTAVEIS;DIVERSOS;LUVA LATEX P/PROCEDIMENTO CX.100UND.;AURELIA
0000000623;MATERIAL DE LIMPEZA;DIVERSOS;DESENTUPIDOR TURBO PARA PIA;BETTANIN
0000000638;MASSAS E BISCOITOS;DIVERSOS;BISCOITO MAIZENA CHOCOLATE CX.20X400G.;ESTRELA
0000001104;MATERIAIS DURAVEIS;DIVERSOS;ESPREMEDOR EM METAL P/ALHO;
0000001912;;;ENVELOPE CONVITE TAM.114X162;SCRITY AMSTER
0000000217;PRODUTOS DE LIMPEZA;DIVERSOS;INSETICIDA LIQUIDO CX.12X500ML.;MAFU
0000000383;TEMPEROS E CONDIMENTOS;DIVERSOS;OREGANO FD.12X10GR.;ISHASHI
0000000517;ENLATADOS;DIVERSOS;ALCAPARRAS EM CONSERVA BAL.02KG.;ALIMENKO
0000001057;HORTIFRUTI;DIVERSOS;COUVE FLOR ;CEASA
0000001824;MATERIAIS DURAVEIS;DIVERSOS;FOICE ROCADEIRA;TRAMONTINA
0;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
0000000955;FRIOS;DIVERSOS;QUEIJO PASTEURIZADO CX.08UND.;POLENGUINHO
0000000566;DESCARTAVEIS;DIVERSOS;COPO DESCARTAVEL PCT.100X180ML.;MARATA
0000000717;TEMPEROS E CONDIMENTOS;DIVERSOS;COLORIFICO PCT.100G.;MARATA
0000001839;CEREAIS;DIVERSOS;ACUCAR CONFEITEIRO FD.10X01KG.;HAROLD
0000001031;MATINAIS;DIVERSOS;MARGARINA VEG. 60% LIP. C/SAL CX.12X500G.;PRIMOR
0000000340;MATERIAIS DURAVEIS;DIVERSOS;DISPENSER DE COPO PARA AGUA;DIXIE
0000001103;TEMPEROS E CONDIMENTOS;DIVERSOS;ALHO EM PASTA CX.06X01KG.;IDEAL FOODS
0000000196;PRODUTOS DE HIGIENE;DIVERSOS;CREME DENTAL INFANTIL PCT.12X50G.;ACTION
0000000194;DESCARTAVEIS;DIVERSOS;TAMPA DESCARTAVEL PCT.100X250ML.;BELPLAST
0000000084;DESCARTAVEIS;DIVERSOS;FACA DESCARTAVEL GRANDE CX.1.000UND.;
0000001573;MATERIAIS DURAVEIS;DIVERSOS;CAL ;
0000000317;TEMPEROS E CONDIMENTOS;DIVERSOS;TEMPERO COMPLETO CX.12X300ML.;NERUSKA
0000001681;;;REGUA TRANSPARENTE TAM.50CM. ;WALLEU
0000000712;DESCARTAVEIS;DIVERSOS;SACO PLASTICO TRANSP. TAM.15X30X0,05 ;DORIPLAST
0000000507;MASSAS E BISCOITOS;DIVERSOS;BISCOITO CREAM CRACKER CX.20X400G.;ESTRELA
0000001692;;;PROGRAMA CONTROLE ESCOLAR;CONTESE
0000000620;MASSAS E BISCOITOS;DIVERSOS;FERMENTO BIOLOGICO BAR.500G.;FERMIPAN
0000001020;PRODUTOS DE LIMPEZA;DIVERSOS;SABAO GELATINOSO PINHO CX.04X05LT.;TALIMPO
0000000649;MATERIAIS DURAVEIS;DIVERSOS;GAS LIQ. PARA COZINHA 45KG.;TROPIGAS
0000000853;MATERIAL DE LIMPEZA;DIVERSOS;PAPEL TOALHA BRANCO FD.1250FLS.;GOLD
0000000615;MATINAIS;DIVERSOS;LEITE FERMENTADO PCT.06X80ML.;YAKULT
0000001608;MATERIAIS DURAVEIS;DIVERSOS;CAPA PLASTICA PARA CHUVA;
0000002041;MATERIAIS DURAVEIS;DIVERSOS;CHAVEIROS IDENTIFICADOS;
0000001232;;;CARTAO DUPLEX;
0000000654;BEBIDAS;DIVERSOS;REFRIGERANTE DE COLA DESC. FD.06X02LT.;COCA-COLA
